מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24,סוף מידע
1329,9762.0,"ריאליטי קרקע חקלאית גמל- נס ציונה 3, גוש 3754","נדל""ן לא מניב",ישראל,לא,2020-06-17,קרקע/זכויות מקרקעין,בשימוש,ישראל  נס ציונה גוש 3754,-0.00696,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,4.5151,4.515,,,שווי הוגן,0.197622,2.4e-05,,
1329,9762.0,ריאליטי קרקע חקלאית גמל -  פת 2 גוש 6391,"נדל""ן לא מניב",ישראל,לא,2022-08-08,קרקע/זכויות מקרקעין,אחר,ישראל  פתח תקווה גוש 6391,-0.0011,,מומחה בלתי תלוי,,אי-תלות,2025-08-05,ILS,2.27508,2.275,,,שווי הוגן,0.099578,1.2e-05,,
1329,9762.0,ריאליטי קרקע חקלאית גמל -  בנימניה גוש 10165,"נדל""ן לא מניב",ישראל,לא,2022-02-02,קרקע/זכויות מקרקעין,בשימוש, ישראל בנימניה גוש 10165,-0.00082,,מומחה בלתי תלוי,,אי-תלות,2024-12-05,ILS,3.23621,3.236,,,שווי הוגן,0.141646,1.7e-05,,
1329,9762.0,ריאליטי קרקע חקלאית גמל - נס ציונה 2 גוש 3768,"נדל""ן לא מניב",ישראל,לא,2020-01-28,קרקע/זכויות מקרקעין,אחר,ישראל נס ציונה גוש 3768,-0.00827,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,6.62403,6.624,,,שווי הוגן,0.289929,3.6e-05,,
1329,9763.0,ריאליטי קרקע חקלאית גמל - נס ציונה 2 גוש 3768,"נדל""ן לא מניב",ישראל,לא,2020-01-28,קרקע/זכויות מקרקעין,אחר,ישראל נס ציונה גוש 3768,-0.00827,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3.0563,3.056,,,שווי הוגן,0.289875,4.6e-05,,
1329,9763.0,"ריאליטי קרקע חקלאית גמל- נס ציונה 3, גוש 3754","נדל""ן לא מניב",ישראל,לא,2020-06-17,קרקע/זכויות מקרקעין,בשימוש,ישראל  נס ציונה גוש 3754,-0.00696,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2.08422,2.084,,,שווי הוגן,0.197678,3.1e-05,,
1329,9763.0,ריאליטי קרקע חקלאית גמל -  פת 2 גוש 6391,"נדל""ן לא מניב",ישראל,לא,2022-08-08,קרקע/זכויות מקרקעין,אחר,ישראל  פתח תקווה גוש 6391,-0.0011,,מומחה בלתי תלוי,,אי-תלות,2025-08-05,ILS,1.05027,1.05,,,שווי הוגן,0.099613,1.5e-05,,
1329,9763.0,ריאליטי קרקע חקלאית גמל  - ראשלצ גוש 3630,"נדל""ן לא מניב",ישראל,לא,2020-08-02,קרקע/זכויות מקרקעין,בשימוש,ישראל ראשון לציון גוש 3630,-0.00703,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2.02287,2.023,,,שווי הוגן,0.191859,3e-05,,
1329,9763.0,ריאליטי קרקע חקלאית גמל - נס ציונה 1 גוש 3755,"נדל""ן לא מניב",ישראל,לא,2020-01-20,קרקע/זכויות מקרקעין,בשימוש,ישראל נס ציונה גוש 3755,-0.01436,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,0.83619,0.836,,,שווי הוגן,0.079308,1.2e-05,,
1329,9763.0,ריאליטי קרקע חקלאית גמל -  בנימניה גוש 10165,"נדל""ן לא מניב",ישראל,לא,2022-02-02,קרקע/זכויות מקרקעין,בשימוש, ישראל בנימניה גוש 10165,-0.00082,,מומחה בלתי תלוי,,אי-תלות,2024-12-05,ILS,1.49363,1.494,,,שווי הוגן,0.141663,2.2e-05,,
1328,2196.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,9760.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,8580.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,12138.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,12139.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,12419.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,13212.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,13211.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,13819.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,13820.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,14304.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,14305.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,14302.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,14303.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,14854.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,14850.0,,,,,,,,,,,,,,,,,,,,,,,,
1328,15314.0,,,,,,,,,,,,,,,,,,,,,,,,
1329,15313.0,,,,,,,,,,,,,,,,,,,,,,,,
סוף מידע,,,,,,,,,,,,,,,,,,,,,,,,,
