מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין2,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,Unfunded Total Return/Equity Swap,MIZ EQ.SW 1 P,USD,3.69,-28572.0,-2310.43068663037,-0.3948972454767178,-0.0016594887271316994,MIZ EQ.SW 1 R,USD,3.69,28572.0,2320.617840290381,-0.3993848962296543,0.0016668057467498047,33.67873,ישראל,"ארה""ב","ריבית ואג""ח",אחר,ריביות,HYGUS,לא,2025-04-15,2026-04-10,רבעוני,No-delivery,לא,הצד הנגדי,SOFR,רבעוני,ריק במקור,7733.0,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.03856964483805085,6.55557367410797e-06,,,,,,,,,,,
13908.0,13909.0,Funded Forward,145250,USD,3.418,5850000.0,5891.630925589836,0.9327653090713295,0.003919788079541436,145250,ILS,1.0,-20059650.0,-20059.65,0.9355887591935403,-0.003904616161352282,-581.9181600000001,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-08-11,2026-08-13,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,342.9,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.6664258645148452,-0.00011327052327036529,,,,,,,,,,,
13908.0,13909.0,Funded Forward,161747,USD,3.429,2900000.0,2909.602779794313,0.46213193640538835,0.0019420311174530595,161747,ILS,1.0,-9944100.0,-9944.1,0.463796137036114,-0.001935621686824208,-324.95321,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-08-12,2026-08-14,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,342.9,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.3721437803232056,-6.32522280024478e-05,,,,,,,,,,,
13908.0,13910.0,Unfunded Total Return/Equity Swap,MIZ EQ.SW 1 P,USD,3.69,-12990.0,-1050.41630369026,-0.41094391770324307,-0.0015470165861384089,MIZ EQ.SW 1 R,USD,3.69,12990.0,1055.047800967937,1.523875018106881,0.0015538376941905685,15.31173,ישראל,"ארה""ב","ריבית ואג""ח",אחר,ריביות,HYGUS,לא,2025-04-15,2026-04-10,רבעוני,No-delivery,לא,הצד הנגדי,SOFR,רבעוני,ריק במקור,7733.0,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.04061291464655054,6.1112691654306045e-06,,,,,,,,,,,
13908.0,13910.0,Funded Forward,502295,USD,3.355,-1710000.0,14.987068965517,0.005330942118990837,2.006856780826757e-05,502295,ILS,1.0,6236370.0,6236.37,2.441083978648094,0.002489080965065114,49.54725,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-07-21,2028-11-26,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,364.7,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.13141939122628868,1.977546502954803e-05,,,,,,,,,,,
13908.0,13910.0,Funded Forward,502296,EUR,3.9109,-1470000.0,13.659821681655,0.005663911754037279,2.1322046752490016e-05,502296,ILS,1.0,5580708.0,5580.708,2.1844401291638,0.0022273909428700673,53.00967,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",EURILS,לא,2025-07-21,2028-11-26,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,379.64,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.14060313257560125,2.1157397742818855e-05,,,,,,,,,,,
13908.0,13910.0,Funded Forward,973866,USD,3.448,3850000.0,3829.572011494253,1.399949063830215,0.00527017027919182,973866,ILS,1.0,-13155450.0,-13155.45,-5.149399125918775,-0.0052506474410379525,-494.88493,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-08-06,2026-08-10,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,341.7,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,1.3126354384484404,-0.00019752013738129413,,,,,,,,,,,
13908.0,13911.0,Funded Forward,813268,USD,3.355,450000.0,-5.099664246823,-0.0012418936167561078,-2.0717077289263685e-05,813268,ILS,1.0,-1514700.0,-1514.7,0.09922919999528322,-0.0018340915219276796,-16.85949,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-07-16,2026-04-20,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,336.6,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.044892699209124344,-2.041450298608602e-05,,,,,,,,,,,
13908.0,13911.0,Funded Forward,925075,USD,3.388,1120000.0,1114.0131941923776,0.27395802253165324,0.004570125371629735,925075,ILS,1.0,-3756480.0,-3756.48,0.24608998824736353,-0.0045485760350504325,-73.55238,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-07-31,2026-08-04,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,335.4,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.1958520021338257,-8.906172613428601e-05,,,,,,,,,,,
13908.0,13911.0,Funded Forward,973867,USD,3.448,1600000.0,1591.5104355716878,0.3983153417789412,0.006644634942796698,973867,ILS,1.0,-5467200.0,-5467.2,0.35816061412438926,-0.006620020577462871,-205.6665,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-08-06,2026-08-10,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,341.7,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.5476395977513775,-0.00024903359344724313,,,,,,,,,,,
13908.0,13911.0,Funded Forward,304393,USD,3.354,120000.0,122.90564730792498,0.029921625516017236,0.0004991479302832038,304393,ILS,1.0,-411480.0,-411.48,0.026956381602996727,-0.0004982451834969312,-5.15393,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-09-01,2026-09-03,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,342.9,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.013723655296505542,-6.2406940764565435e-06,,,,,,,,,,,
13908.0,13911.0,Funded Forward,328581,USD,3.371,1200000.0,1222.1662068965516,0.2990469037901445,0.004988654209462869,328581,ILS,1.0,-4114800.0,-4114.8,0.26956381602996726,-0.004982451834969312,-74.31852,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-09-03,2026-09-08,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,342.9,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.19789204560916682,-8.998941536555933e-05,,,,,,,,,,,
13908.0,13912.0,Unfunded Total Return/Equity Swap,MIZ EQ.SW 1 P,USD,3.69,-38960.0,-3150.44027525711,-0.2836623063703954,-0.0033254840477867837,MIZ EQ.SW 1 R,USD,3.69,38960.0,3164.3312008469447,-0.28593096645171745,0.003340146776618937,45.9234,ישראל,"ארה""ב","ריבית ואג""ח",אחר,ריביות,HYGUS,לא,2025-04-15,2026-04-10,רבעוני,No-delivery,לא,הצד הנגדי,SOFR,רבעוני,ריק במקור,7733.0,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.034847250019105006,1.313685136019098e-05,,,,,,,,,,,
13908.0,13912.0,Funded Forward,945889,USD,3.404,12250000.0,12429.537386569873,1.0324012675281224,0.01210324343057636,945889,ILS,1.0,-42225750.0,-42225.75,1.034023156407703,-0.012079101314854394,-1133.6994,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-08-04,2026-08-06,ללא,Delivery,לא,הצד הנגדי,ללא,ללא,ריק במקור,344.7,ריק במקור,ריק במקור,ריק במקור,FIRBILIT,0.8602652773598933,-0.0003243061381547903,,,,,,,,,,,
