מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,253747.83486,1.0,ריק במקור,253747.83486,0.30852349853726485,0.04939208295770394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק המזרחי המאוחד בע""מ",20.0,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,80.40774,1.0,ריק במקור,80.40774,9.77650795245677e-05,1.5651387791003946e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,156909.449661222,3.306,ריק במקור,518742.64058,0.6307218124659136,0.10097339175864115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק המזרחי המאוחד בע""מ",20.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,145.262610405324,3.306,ריק במקור,480.23819,0.0005839055398906181,9.347849030130474e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CHF,54.3422791899,4.1427,ריק במקור,225.12376,0.0002737204440675698,4.382039923928844e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,437.956720484586,4.4409,ריק במקור,1944.922,0.002364765556140258,0.0003785795800908591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק המזרחי המאוחד בע""מ",20.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,0.016989799364,4.4409,ריק במקור,0.07545,9.17371294122759e-08,1.4686362392864765e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,671314.79894322,0.022332,ריק במקור,14991.80209,0.01822803033072973,0.0029181582295009587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק המזרחי המאוחד בע""מ",20.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,0.000895575855,0.022332,ריק במקור,2e-05,2.4317330526779562e-11,3.893005273125186e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,358.938858707096,2.3745,ריק במקור,852.30032,0.0010362834294759995,0.00016590048200231417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,8014.86549076198,3.8807,ריק במקור,31103.28851,0.037817447358372745,0.0060542633090482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הבינלאומי הראשון בע""מ",31.0,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,-0.120399274047,3.306,ריק במקור,-0.39804,-4.839635121439668e-07,-7.747859094573746e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
