מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,HUMANZ,515599009,ח.פ.,HUMANZ,11019400.0,פנימי,מניות לא סחירות,ישראל,גרמניה,לא סחיר,תוכנה ואינטרנט,לא,2023-02-22,USD,מומחה בלתי תלוי,אי-תלות,2025-09-30,2025-04-30,3393.47,3.306,8620.0,967.06158,0.02015095292006802,0.0001882387915188387,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,CANDID,540300662,מספר שותפות,CANDID 2,11019989.0,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,שירותים,לא,2022-12-28,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,2024-11-21,253315.14,3.306,122.0,1021.70102,0.02128949136042141,0.00019887437292086905,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,CANDID,540300662,מספר שותפות,CANDID 2,11020458.0,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,מכשור רפואי,לא,2022-11-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,2024-11-21,86851.04,3.306,122.0,350.29804,0.0072992655876496565,6.818560584427087e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרדיט 360,516491776,ח.פ.,קרדיט 360 ל.ס,11021113.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2022-11-08,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,2025-04-10,1064819.4,1.0,167.27,1781.12341,0.03711380404517881,0.0003466961413608356,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,AGORA,515859049,ח.פ.,AGORA ל.ס,11021257.0,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,תוכנה ואינטרנט,לא,2022-12-28,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,2025-09-30,149002.0,3.306,671.13,3305.99049,0.06888791789058833,0.0006435119205235859,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,HUMANZ LTD,515599009,ח.פ.,HUMANZ SAFE,11021301.0,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2024-11-13,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,2024-11-13,1100000.0,3.306,100.0,3636.6,0.07577692765864959,0.0007078651488123525,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"פי.אס.די.אס יזמות בע""מ (קבוצת KSP)",513591115,ח.פ.,KSP פי אס די אס,11022486.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אחר,לא,2025-08-06,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,2025-08-06,12500000.0,1.0,100.0,12500.0,0.26046625851980415,0.002433128295703241,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"לואן ווייז בע""מ",516961604,ח.פ.,לואן ווייז,11022516.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אחר,לא,2025-08-28,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,2025-08-28,696000.0,1.0,100.0,696.0,0.014502761274382697,0.00013547658350475646,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קרדיט 360 בע""מ",516491776,ח.פ.,קרדיט 360,11022519.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אחר,לא,2025-09-30,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,2025-09-30,2147727.2,1.0,100.0,2147.7272,0.04475283744841721,0.0004180556657417195,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,UVEYE,"5+XLOOKUP(G8,'[514956465_gm_0325_V2-להפצה.xlsx]לא סחיר מניות מבכ ויהש'!$G:$G,C:C,0)","מספר תאגיד או שותפות בחו""ל",UVEYE (PENSIA),11019758.0,פנימי,מניות לא סחירות,"חו""ל","ארה""ב",לא סחיר,Software,לא,2025-02-11,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,2025-09-30,168663.18,3.306,830.0528,4628.37834,0.09644291113871217,0.0009009150641819197,,,,,,,,,,,,,,,,,,,,,,,,,,
