מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
325,325.0,בנק הפועלים,12-600,סימול בנק,צמוד למדד המחירים לצרכן,2029-11-09,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,2.0672,,0.0281,224.93159,1.0,169.66,224.93159,1.0,0.000395
209,12119.0,,,,,,,,,,,,,,,,,,,,
209,13335.0,,,,,,,,,,,,,,,,,,,,
209,14285.0,,,,,,,,,,,,,,,,,,,,
209,14286.0,,,,,,,,,,,,,,,,,,,,
209,15217.0,,,,,,,,,,,,,,,,,,,,
209,15218.0,,,,,,,,,,,,,,,,,,,,
209,15219.0,,,,,,,,,,,,,,,,,,,,
209,2187.0,,,,,,,,,,,,,,,,,,,,
209,2188.0,,,,,,,,,,,,,,,,,,,,
209,2189.0,,,,,,,,,,,,,,,,,,,,
209,2201.0,,,,,,,,,,,,,,,,,,,,
209,9974.0,,,,,,,,,,,,,,,,,,,,
209,9975.0,,,,,,,,,,,,,,,,,,,,
209,9976.0,,,,,,,,,,,,,,,,,,,,
209,9979.0,,,,,,,,,,,,,,,,,,,,
209,9984.0,,,,,,,,,,,,,,,,,,,,
209,9987.0,,,,,,,,,,,,,,,,,,,,
347,347.0,,,,,,,,,,,,,,,,,,,,
389,389.0,,,,,,,,,,,,,,,,,,,,
671,12120.0,,,,,,,,,,,,,,,,,,,,
671,13465.0,,,,,,,,,,,,,,,,,,,,
671,14082.0,,,,,,,,,,,,,,,,,,,,
671,14287.0,,,,,,,,,,,,,,,,,,,,
671,14288.0,,,,,,,,,,,,,,,,,,,,
671,15220.0,,,,,,,,,,,,,,,,,,,,
671,15221.0,,,,,,,,,,,,,,,,,,,,
671,15222.0,,,,,,,,,,,,,,,,,,,,
671,15223.0,,,,,,,,,,,,,,,,,,,,
671,15224.0,,,,,,,,,,,,,,,,,,,,
671,2202.0,,,,,,,,,,,,,,,,,,,,
671,7234.0,,,,,,,,,,,,,,,,,,,,
671,7235.0,,,,,,,,,,,,,,,,,,,,
671,7236.0,,,,,,,,,,,,,,,,,,,,
671,8318.0,,,,,,,,,,,,,,,,,,,,
671,8319.0,,,,,,,,,,,,,,,,,,,,
671,8320.0,,,,,,,,,,,,,,,,,,,,
סיום מידע טבלה,,,,,,,,,,,,,,,,,,,,,
